precinct,Month,ComplainCount,ArrestCount,Borough
63.0,11,105,145,BROOKLYN
63.0,12,67,132,BROOKLYN
66.0,1,85,135,BROOKLYN
66.0,2,89,128,BROOKLYN
66.0,3,159,171,BROOKLYN
66.0,4,130,137,BROOKLYN
66.0,5,175,130,BROOKLYN
66.0,6,108,111,BROOKLYN
66.0,7,134,114,BROOKLYN
66.0,8,85,142,BROOKLYN
66.0,9,134,123,BROOKLYN
66.0,10,136,139,BROOKLYN
66.0,11,105,105,BROOKLYN
66.0,12,105,118,BROOKLYN
67.0,1,206,386,BROOKLYN
67.0,2,175,367,BROOKLYN
67.0,3,204,446,BROOKLYN
67.0,4,246,412,BROOKLYN
67.0,5,448,438,BROOKLYN
67.0,6,468,385,BROOKLYN
67.0,7,604,340,BROOKLYN
67.0,8,504,371,BROOKLYN
67.0,9,503,387,BROOKLYN
67.0,10,221,401,BROOKLYN
67.0,11,210,358,BROOKLYN
67.0,12,257,337,BROOKLYN
68.0,1,95,158,BROOKLYN
68.0,2,83,171,BROOKLYN
68.0,3,71,190,BROOKLYN
68.0,4,114,180,BROOKLYN
68.0,5,170,150,BROOKLYN
68.0,6,145,152,BROOKLYN
68.0,7,108,143,BROOKLYN
68.0,8,139,193,BROOKLYN
68.0,9,180,177,BROOKLYN
68.0,10,223,221,BROOKLYN
68.0,11,113,203,BROOKLYN
68.0,12,152,194,BROOKLYN
69.0,1,38,191,BROOKLYN
69.0,2,48,158,BROOKLYN
69.0,3,70,234,BROOKLYN
69.0,4,60,191,BROOKLYN
69.0,5,155,214,BROOKLYN
69.0,6,279,185,BROOKLYN
69.0,7,317,187,BROOKLYN
69.0,8,268,200,BROOKLYN
69.0,9,250,193,BROOKLYN
69.0,10,90,189,BROOKLYN
69.0,11,62,151,BROOKLYN
69.0,12,53,151,BROOKLYN
70.0,1,223,289,BROOKLYN
70.0,2,225,255,BROOKLYN
70.0,3,233,320,BROOKLYN
70.0,4,311,253,BROOKLYN
70.0,5,416,267,BROOKLYN
70.0,6,333,248,BROOKLYN
70.0,7,376,227,BROOKLYN
70.0,8,303,286,BROOKLYN
70.0,9,371,246,BROOKLYN
70.0,10,340,285,BROOKLYN
70.0,11,277,220,BROOKLYN
70.0,12,305,252,BROOKLYN
71.0,1,227,304,BROOKLYN
71.0,2,157,304,BROOKLYN
71.0,3,272,306,BROOKLYN
71.0,4,242,304,BROOKLYN
71.0,5,383,263,BROOKLYN
71.0,6,448,256,BROOKLYN
71.0,7,466,243,BROOKLYN
71.0,8,390,256,BROOKLYN
71.0,9,495,282,BROOKLYN
71.0,10,370,302,BROOKLYN
71.0,11,245,268,BROOKLYN
71.0,12,307,273,BROOKLYN
