Location Type,precinct,Month,ComplainCount
Club/Bar/Restaurant,52.0,11,1
Club/Bar/Restaurant,52.0,12,1
Club/Bar/Restaurant,60.0,2,1
Club/Bar/Restaurant,60.0,3,2
Club/Bar/Restaurant,60.0,4,27
Club/Bar/Restaurant,60.0,5,27
Club/Bar/Restaurant,60.0,6,6
Club/Bar/Restaurant,60.0,7,10
Club/Bar/Restaurant,60.0,8,2
Club/Bar/Restaurant,60.0,10,4
Club/Bar/Restaurant,60.0,11,4
Club/Bar/Restaurant,60.0,12,3
Club/Bar/Restaurant,61.0,1,7
Club/Bar/Restaurant,61.0,2,1
Club/Bar/Restaurant,61.0,3,7
Club/Bar/Restaurant,61.0,4,9
Club/Bar/Restaurant,61.0,5,13
Club/Bar/Restaurant,61.0,6,8
Club/Bar/Restaurant,61.0,7,8
Club/Bar/Restaurant,61.0,8,6
Club/Bar/Restaurant,61.0,9,28
Club/Bar/Restaurant,61.0,10,27
Club/Bar/Restaurant,61.0,11,9
Club/Bar/Restaurant,61.0,12,7
Club/Bar/Restaurant,62.0,1,7
Club/Bar/Restaurant,62.0,2,7
Club/Bar/Restaurant,62.0,3,17
Club/Bar/Restaurant,62.0,4,5
Club/Bar/Restaurant,62.0,5,12
Club/Bar/Restaurant,62.0,6,5
Club/Bar/Restaurant,62.0,7,3
Club/Bar/Restaurant,62.0,8,3
Club/Bar/Restaurant,62.0,9,14
Club/Bar/Restaurant,62.0,10,11
Club/Bar/Restaurant,62.0,11,3
Club/Bar/Restaurant,62.0,12,5
Club/Bar/Restaurant,63.0,1,6
Club/Bar/Restaurant,63.0,2,7
Club/Bar/Restaurant,63.0,3,11
Club/Bar/Restaurant,63.0,4,9
Club/Bar/Restaurant,63.0,5,11
Club/Bar/Restaurant,63.0,6,14
Club/Bar/Restaurant,63.0,7,5
Club/Bar/Restaurant,63.0,8,4
Club/Bar/Restaurant,63.0,9,7
Club/Bar/Restaurant,63.0,10,11
Club/Bar/Restaurant,63.0,11,12
Club/Bar/Restaurant,63.0,12,7
Club/Bar/Restaurant,66.0,1,4
Club/Bar/Restaurant,66.0,2,3
Club/Bar/Restaurant,66.0,3,1
Club/Bar/Restaurant,66.0,4,7
Club/Bar/Restaurant,66.0,5,5
Club/Bar/Restaurant,66.0,6,2
Club/Bar/Restaurant,66.0,7,5
Club/Bar/Restaurant,66.0,8,1
Club/Bar/Restaurant,66.0,9,8
Club/Bar/Restaurant,66.0,10,5
Club/Bar/Restaurant,66.0,11,7
Club/Bar/Restaurant,66.0,12,10
Club/Bar/Restaurant,67.0,1,10
Club/Bar/Restaurant,67.0,2,5
Club/Bar/Restaurant,67.0,3,1
Club/Bar/Restaurant,67.0,4,13
Club/Bar/Restaurant,67.0,5,23
Club/Bar/Restaurant,67.0,6,10
Club/Bar/Restaurant,67.0,7,21
Club/Bar/Restaurant,67.0,8,15
Club/Bar/Restaurant,67.0,9,12
Club/Bar/Restaurant,67.0,10,14
Club/Bar/Restaurant,67.0,11,6
Club/Bar/Restaurant,67.0,12,5
Club/Bar/Restaurant,68.0,1,8
Club/Bar/Restaurant,68.0,2,14
Club/Bar/Restaurant,68.0,3,15
Club/Bar/Restaurant,68.0,4,25
Club/Bar/Restaurant,68.0,5,32
Club/Bar/Restaurant,68.0,6,17
Club/Bar/Restaurant,68.0,7,10
Club/Bar/Restaurant,68.0,8,21
Club/Bar/Restaurant,68.0,9,38
Club/Bar/Restaurant,68.0,10,77
Club/Bar/Restaurant,68.0,11,19
Club/Bar/Restaurant,68.0,12,36
Club/Bar/Restaurant,69.0,1,4
Club/Bar/Restaurant,69.0,2,3
Club/Bar/Restaurant,69.0,3,6
Club/Bar/Restaurant,69.0,4,4
Club/Bar/Restaurant,69.0,5,9
Club/Bar/Restaurant,69.0,6,7
Club/Bar/Restaurant,69.0,7,9
Club/Bar/Restaurant,69.0,8,12
Club/Bar/Restaurant,69.0,9,16
Club/Bar/Restaurant,69.0,10,10
