Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls,index,precinct
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.84895292564862,-73.93287459602605,19,1924,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.87071467553367,-73.91476322005906,64,1934,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85751874877571,-73.93219717678865,26,1966,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.867392321559684,-73.91678132982706,11,1995,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86925224623635,-73.91543398673167,10,2024,34.0
Club/Bar/Restaurant,10040.0,NEW YORK,MANHATTAN,40.85579314373712,-73.92898528915487,19,2035,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86732921965609,-73.91681756407851,15,2046,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86958974010128,-73.91529254712599,14,2125,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.8672717265864,-73.9209284880943,10,2154,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.84897766372195,-73.9329360180768,17,2235,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.862325466630004,-73.92047161630438,10,2237,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85127592942965,-73.93962081273907,19,2263,34.0
Club/Bar/Restaurant,10033.0,NEW YORK,MANHATTAN,40.85239303302252,-73.93460257318607,12,2382,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86613851763379,-73.9255829369018,27,2386,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.87086825267618,-73.91459308431514,25,2412,34.0
Club/Bar/Restaurant,10034.0,NEW YORK,MANHATTAN,40.86940311156725,-73.91530724742975,22,2426,34.0
Club/Bar/Restaurant,11220.0,BROOKLYN,BROOKLYN,40.6352068552889,-74.02028461083884,17,4,68.0
Club/Bar/Restaurant,11209.0,BROOKLYN,BROOKLYN,40.62084753339561,-74.02677136712303,25,74,68.0
Club/Bar/Restaurant,11209.0,BROOKLYN,BROOKLYN,40.620756940159175,-74.0268361698577,143,79,68.0
Club/Bar/Restaurant,11209.0,BROOKLYN,BROOKLYN,40.62343624927606,-74.0250973289108,57,108,68.0
Club/Bar/Restaurant,11209.0,BROOKLYN,BROOKLYN,40.632836668310354,-74.0272301322902,70,139,68.0
Club/Bar/Restaurant,11209.0,BROOKLYN,BROOKLYN,40.62204851565206,-74.03163847547069,15,144,68.0
Club/Bar/Restaurant,11209.0,BROOKLYN,BROOKLYN,40.62986376496369,-74.02845742708722,15,171,68.0
